npdes_id,frs_id,city,state,zip,watershed_huc12,latitude,longitude,facility_type,major_minor_facility,cso_outfall_count,median_household_income,poverty_rate,white_alone
PA0026891,110001095289,CHARLEROI,PA,15022-1416,50200050803,40.133129,-79.890881,POTW,M,12,34866,24.3,85.8
PA0027103,110001219501,CHESTER,PA,19013-4508,20402020607,39.828617,-75.393105,POTW,M,26,32403,31.4,20.6
PA0026824,110001061467,CLAIRTON,PA,15025-2172,50200050806,40.303681,-79.882271,POTW,M,5,37282,22.5,60.3
PA0026310,110000915083,CLEARFIELD,PA,16830-2405,20502010408,41.025058,-78.40002,POTW,M,9,44563,19.8,98.5
PAG064802,110010995904,COAL TOWNSHIP,PA,178661900,20503010102,40.803947,-76.577848,NON-POTW,N,33,37352,21.6,81.8
PA0026476,110010794328,COALDALE,PA,18218-1015,20402030102,40.814811,-75.931868,POTW,M,6,36953,12.4,91.7
PA0026905,110009161236,CONNELLSVILLE,PA,15425-3857,50200060903,39.997742,-79.610372,POTW,M,16,35029,18,90.9
PAG066135,110017803714,CORAOPOLIS,PA,15108-1804,50301010307,40.51733,-80.16384,NON-POTW,N,6,43145,11.8,75.4
PA0028223,110000966802,CORRY,PA,16407-1993,50100011103,41.91938,-79.63995,POTW,M,3,40833,24.7,91.1
PA0027081,110010977746,DICKSON CITY,PA,18519,20501070103,41.44819,-75.63327,POTW,N,15,53167,9.9,95
PA0026158,110007797152,DONORA,PA,15033-1394,50200050803,40.16285,-79.868658,POTW,M,21,33620,25.5,77
PA0028401,110001061476,DRAVOSBURG,PA,15034-1222,50200050807,40.347410000000004,-79.89159,POTW,N,1,34667,10.2,95.4
PA0027022,110006802870,DUNCANSVILLE,PA,16635,20503020202,40.454378,-78.426264,POTW,M,1,50563,6.4,97.5
PA0026981,110010808689,DUQUESNE,PA,15110-1148,50200050808,40.37273,-79.8468,POTW,M,4,29844,39.2,29.3
PA0026361,110010784712,DURYEA,PA,18642-1255,20501070110,41.34869,-75.780194,POTW,M,26,60707,8.6,95.4
PAG066122,110010995502,EAST CONEMAUGH,PA,15909,50100070503,40.341741,-78.887246,NON-POTW,N,2,32059,19.2,90.4
PAG066120,110010995487,EAST PITTSBURGH,PA,15112,50200050704,40.392847,-79.83977,NON-POTW,N,3,30663,21.6,25.8
PAG062201,110010995888,EASTON,PA,18042,20401050603,40.693431,-75.205732,NON-POTW,N,2,51698,15.9,69.3
PA0022292,110000949895,EBENSBURG,PA,15931-3815,50100070501,40.489238,-78.717521,POTW,M,2,44556,8.9,99.6
PA0028436,110001063321,ELIZABETH,PA,15037-1763,50200050807,40.277114,-79.88303,POTW,M,6,40179,16.1,95.8
PA0026832,110007767050,ELLWOOD CITY,PA,16117,50301050409,40.855342,-80.310063,POTW,M,2,46250,11.1,97.6
PA0028631,110055045623,EMPORIUM,PA,15834,20502020207,41.506708,-78.229323,POTW,N,1,35151,23.5,94.7
PA0026301,110001139367,ERIE,PA,16507-2204,41201010406,42.140806,-80.074889,POTW,M,15,37894,26.2,72.7
